question,question_type,expected_pages,expected_substrings,retrieved_pages,retrieval_hit_top1,retrieval_hit_topk,baseline_answer,baseline_hit,final_answer_short,answer_hit,citation_hit,verifier_verdict,planner_jurisdiction,planner_entity,planner_topic,n_candidates,top1_final_score,full_answer
What is the 2025 combined tax rate for a CCPC in Quebec on small business income?,rate,[61],['12.2'],"[61, 61, 61, 60, 72, 68]",True,True,11.0%,False,12.2%,True,True,supported_exact,quebec,ccpc,rate,25,0.8970144761681557,"12.2%

Evidence
- [Source 1 | p. 61] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 2026 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5
- [Source 2 | p. 61] Row label CCPC) that is. 2025 KPMG LLP, a Canadian: CCPC) that is; limited liability partne: ultimately co; rship and: ntroll; a member firm: ed, in law; of the KPMG net: or in fac
- [Source 3 | p. 61] Row label a CCPC if the. 2025 KPMG LLP, a Canadian: a CCPC if the; limited liability partne: corporation i; rship and: s a pr; a member firm: ivate corp; of the KPMG net: oration a

Citations: (p. 61)

Confidence: high
Verifier: supported_exact"
What is the 2025 combined tax rate for a CCPC in Ontario on small business income?,rate,[61],['12.2'],"[61, 61, 61, 60, 72, 68]",True,True,11.0%,False,12.2%,True,True,supported_exact,ontario,ccpc,rate,25,0.9235090013623237,"12.2%

Evidence
- [Source 1 | p. 61] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 2026 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5
- [Source 2 | p. 61] Row label CCPC) that is. 2025 KPMG LLP, a Canadian: CCPC) that is; limited liability partne: ultimately co; rship and: ntroll; a member firm: ed, in law; of the KPMG net: or in fac
- [Source 3 | p. 61] Row label a CCPC if the. 2025 KPMG LLP, a Canadian: a CCPC if the; limited liability partne: corporation i; rship and: s a pr; a member firm: ivate corp; of the KPMG net: oration a

Citations: (p. 61)

Confidence: high
Verifier: supported_exact"
What is the 2025 combined tax rate for a CCPC in Manitoba on small business income?,rate,[61],['9.0'],"[61, 60, 61, 72, 61, 61]",True,True,11.0%,False,9.0%,True,True,supported_exact,manitoba,ccpc,rate,17,0.9210440260052682,"9.0%

Evidence
- [Source 1 | p. 61] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 2026 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5
- [Source 2 | p. 60] Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 20261 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5 Federal
- [Source 3 | p. 61] Row label Manitoba. 2025 KPMG LLP, a Canadian: Manitoba; of the KPMG net: 9.0; ent member: 27.0; : 50.7.

Citations: (p. 61)

Confidence: high
Verifier: supported_exact"
What is the 2025 combined tax rate for a CCPC in Saskatchewan on small business income?,rate,[61],['10.0'],"[61, 68, 62, 60, 61, 61]",True,True,11.0%,False,10.0%,True,True,supported_exact,saskatchewan,ccpc,rate,40,0.8806012303113937,"10.0%

Evidence
- [Source 1 | p. 61] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 2026 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5
- [Source 2 | p. 68] Notes, continued (10) Saskatchewan cancelled the previously scheduled increase of the province’s small business income tax rate to 2% on July 1, 2025. As a result, the province’s s
- [Source 3 | p. 62] Notes, continued (2) The small business income threshold is $600,000 in Saskatchewan. Therefore, Saskatchewan’s combined income tax rate on active business income between $500,000

Citations: (p. 61)

Confidence: high
Verifier: supported_exact"
What is the 2025 combined tax rate for a CCPC in Alberta on small business income?,rate,[61],['11.0'],"[61, 60, 72, 61, 61, 61]",True,True,11.0%,True,11.0%,True,True,supported_exact,Alberta,CCPC,tax rates,17,0.8111626731801033,"11.0%

Evidence
- [Source 1 | p. 61] 500,0002,4
Active
Business
Income3,4
Investment
Income5
Provincial rates
British Columbia
11.0%
27.0%
50.7%
Alberta
11.0
23.0
46.7
Saskatchewan9
10.0
27.0
50.7
Manitoba
9.0
27.0
50.7
Ontario
12.2
26.5
50.2
Quebec10
12.2
26.5

- [Source 1 | p. 61] British Columbia -> 11.0%

Citations: (p. 61)

Confidence: high
Verifier: supported_exact"
What is the 2025 combined tax rate for a CCPC in British Columbia on small business income?,rate,[61],['11.0'],"[61, 61, 60, 72, 61, 61]",True,True,11.0%,True,11.0%,True,True,supported_exact,british columbia,ccpc,rate,20,0.9177280462861063,"11.0%

Evidence
- [Source 1 | p. 61] British Columbia -> 11.0%
- [Source 1 | p. 61] 500,0002,4
Active
Business
Income3,4
Investment
Income5
Provincial rates
British Columbia
11.0%
27.0%
50.7%
Alberta
11.0
23.0
46.7
Saskatchewan9
10.0
27.0
50.7
Manitoba
9.0
27.0
50.7
Ontario
12.2
26.5
50.2
Quebec10
12.2
26.5


Citations: (p. 61)

Confidence: high
Verifier: supported_exact"
What is the 2025 combined tax rate for a CCPC in Quebec on active business income above the small business limit?,threshold,[61],['26.5'],"[61, 68, 60, 72, 61, 61]",True,True,"$50,000,024,000",False,26.5%,True,True,supported_exact,quebec,ccpc,rate,48,0.8885722038030623,"26.5%

Evidence
- [Source 1 | p. 61] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 2026 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5
- [Source 2 | p. 68] me to 15% (from 16%) and increased the province’s small business income threshold to $600,000 (from $500,000) effective July 1, 2025. As a result of the increased small business in
- [Source 3 | p. 60] Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 20261 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5 Federal

Citations: (p. 61)

Confidence: high
Verifier: supported_exact"
What is the 2025 combined tax rate for a CCPC in Ontario on investment income?,rate,[61],['50.2'],"[61, 61, 72, 61, 61, 61]",True,True,11.0%,False,50.2%,True,True,supported_exact,Ontario,CCPC,tax rates,9,0.816853284304142,"50.2%

Evidence
- [Source 1 | p. 61] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 2026 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5
- [Source 2 | p. 61] Row label Investment in. 2025 KPMG LLP, a Canadian: Investment in; limited liability partne: come earned; rship and: by a; a member firm: “substant; of the KPMG net: ive CCPC”; wor
- [Source 3 | p. 72] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a General Corporation—2025 and 2026 Active Business Income2 Investment Income3 M&P Income Provincial rate

Citations: (p. 61)

Confidence: high
Verifier: supported_exact"
What is the 2025 combined tax rate for a CCPC in Quebec on investment income?,rate,[61],['50.2'],"[61, 72, 61, 61, 61, 61]",True,True,11.0%,False,50.2%,True,True,supported_exact,quebec,ccpc,rate,9,0.9011048391342162,"50.2%

Evidence
- [Source 1 | p. 61] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 2026 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5
- [Source 2 | p. 72] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a General Corporation—2025 and 2026 Active Business Income2 Investment Income3 M&P Income Provincial rate
- [Source 3 | p. 61] Row label Investment in. 2025 KPMG LLP, a Canadian: Investment in; limited liability partne: come earned; rship and: by a; a member firm: “substant; of the KPMG net: ive CCPC”; wor

Citations: (p. 61)

Confidence: high
Verifier: supported_exact"
What is the 2025 federal tax rate on investment income earned by a CCPC?,rate,[60],['38.7'],"[60, 72, 61, 76, 66, 93]",True,True,38.0%,False,38.7%,True,True,supported_exact,Canada,CCPC (Canadian Controlled Private Corporation),tax rates,19,0.6545590026497842,"38.7%

Evidence
- [Source 1 | p. 60] Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 20261 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5 Federal
- [Source 2 | p. 72] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a General Corporation—2025 and 2026 Active Business Income2 Investment Income3 M&P Income Provincial rate
- [Source 3 | p. 61] Combined Federal and Provincial/Territorial Tax Rates for Income Earned by a CCPC—2025 and 2026 Small Business Income up to $500,0002,4 Active Business Income3,4 Investment Income5

Citations: (p. 60)

Confidence: high
Verifier: supported_exact"
